직업,항목,값,설명
warrior,마력 흡수/지능,,마법사 패시브. 맞은 만큼 그대로 되돌려 받을 확률. 지능 1점당 0.003 = 0.3%p
warrior,1:1 피해 감소,,마법사 패시브. 상대가 한 마리뿐인 전투에서만 받는 피해를 깎는다. 0.5 = 절반
warrior,힘 성장 차례,1,1=가장 잘 자람 · 2=다음 · 3=가장 덜 (몫 3:2:1)
warrior,민첩 성장 차례,2,1=가장 잘 자람 · 2=다음 · 3=가장 덜
warrior,지능 성장 차례,3,1=가장 잘 자람 · 2=다음 · 3=가장 덜
warrior,전투설명 1,"맞으면 되받아친다 — 반격 확률 35% (피해 120%, 치명타도 터진다)",★ 캐릭터 창에 나오는 줄
warrior,전투설명 2,"치명상을 버틴다 — 첫 번째는 무조건, 그다음부터는 50%",★
warrior,전투설명 3,한 번에 한 마리와 정면으로 붙는다,★
ranger,이름,사냥꾼,화면에 나오는 직업 이름
ranger,한줄소개,빠른 발과 정확한 한 발,접속 화면 직업 카드의 한 줄
ranger,선택가능,예,"아니오면 접속 화면에 ""준비 중""으로 회색 표시"
ranger,기본 HP,40,1레벨 체력
ranger,기본 공격력,12,
ranger,기본 방어력,4,
ranger,기본 속도,14,높으면 먼저 때린다
ranger,기본 치명타,0.11,0.06 = 6%
ranger,성장 HP,4.6,레벨 1당 오르는 양
ranger,성장 공격력,2.2,
ranger,성장 방어력,1,
ranger,성장 속도,1.4,
ranger,성장 치명타,0.006,
ranger,패시브 이름,반사 신경과 눈썰미,★ 글자일 뿐이다 — 전투는 안 바뀐다
ranger,패시브 설명,맞은 직후 한 대는 무조건 회피 · 골드 +30% · 민첩 1당 회피 +0.3%,★ 직업 카드의 한 줄 요약
ranger,패시브 자세히,피해를 입으면 바로 다음에 들어오는 공격을 확실히 흘린다. 그리고 몬스터에게서 얻는 골드와 상점에 팔 때 받는 값이 30% 오른다 — 민첩 1점마다 1%p 씩 더 오른다.,★ 캐릭터 창에 나오는 긴 설명
ranger,반격 확률,,맞았을 때 되받아칠 확률. 0.35 = 35%
ranger,반격 위력,,반격 피해 배율. 0.55 = 평소의 55%
ranger,치명상 버티기,,쓰러질 피해를 HP 1 로 버틸 확률. 전투당 1회
ranger,물약 배율,,물약 회복량 배율. 2 = 두 배
ranger,선제 공격 횟수,2,전투 시작하자마자 공짜로 때리는 횟수
ranger,선제 공격 위력,1,그 공격의 피해 배율
ranger,회피 확률,0.28,0.18 = 18%
ranger,맞은 뒤 확정 회피,1,1 이면 켬. 비우면 끔
ranger,광역 여파,,주 대상에게 준 피해의 몇 %가 나머지 전부에게. 0.45 = 45%
ranger,충전 주기,,몇 번째 공격마다 대폭발이 터지나
ranger,충전 위력,,그 폭발의 피해 배율. 2.1 = 2.1배
ranger,보호막,,1 이면 켬 — 쓰러질 피해를 막고 HP 1 로 버틴다
ranger,보호막 막는 횟수,,몇 대를 막아 내나. 0.54 이전에는 밀리초였다
ranger,끌어오기 범위,0,필드에서 몇 칸 안의 몬스터까지 함께 끌고 들어오나. 0 = 한 마리
ranger,한 전투 최대 마리,1,끌고 올 수 있는 최대 수
ranger,공격 속성,,magic 이면 마법 공격으로 친다. 비우면 물리
ranger,마법 전환 배율,,주는 피해를 전부 마법으로 바꾸면서 곱하는 값. 1.1 = 10% 더. 비우면 1(그대로)
ranger,골드 획득,0.3,사냥꾼 패시브. 0.3 = +30% (상점 판매에도)
ranger,골드 획득/민첩,0.01,민첩 1점마다 더 오르는 몫. 0.01 = 1%p
ranger,재료 두 배 확률,,용사 패시브. 0.2 = 20%
ranger,재료 두 배/힘,,힘 1점마다 더 오르는 몫. 0.005 = 0.5%p
ranger,각인 확률 추가,,마법사 패시브. 0.1 이면 10% → 20%
ranger,각인 확률/지능,,지능 1점마다 더 오르는 몫. 0.002 = 0.2%p
ranger,회피 확률/민첩,0.003,사냥꾼 패시브. 민첩 1점마다 더 오르는 몫. 0.003 = 0.3%p
ranger,마력 흡수/지능,,마법사 패시브. 맞은 만큼 그대로 되돌려 받을 확률. 지능 1점당 0.003 = 0.3%p
ranger,1:1 피해 감소,,마법사 패시브. 상대가 한 마리뿐인 전투에서만 받는 피해를 깎는다. 0.5 = 절반
ranger,힘 성장 차례,3,1=가장 잘 자람 · 2=다음 · 3=가장 덜 (몫 3:2:1)
ranger,민첩 성장 차례,1,1=가장 잘 자람 · 2=다음 · 3=가장 덜
ranger,지능 성장 차례,2,1=가장 잘 자람 · 2=다음 · 3=가장 덜
ranger,전투설명 1,거리에서 먼저 쏜다 — 시작하자마자 선제 사격 2발 (위력 80%),★ 캐릭터 창에 나오는 줄
ranger,전투설명 2,몸이 가볍다 — 28% 확률로 공격을 흘린다,★
ranger,전투설명 3,먼저 때리고 시작하므로 한 마리씩 빠르게 정리한다,★
mage,이름,마법사,화면에 나오는 직업 이름
mage,한줄소개,한 방이 무겁고 몸은 약하다,접속 화면 직업 카드의 한 줄
mage,선택가능,예,"아니오면 접속 화면에 ""준비 중""으로 회색 표시"
mage,기본 HP,36,1레벨 체력
mage,기본 공격력,15,
mage,기본 방어력,3,
mage,기본 속도,8,높으면 먼저 때린다
mage,기본 치명타,0.08,0.06 = 6%
mage,성장 HP,4.2,레벨 1당 오르는 양
mage,성장 공격력,2.8,
mage,성장 방어력,0.8,
mage,성장 속도,0.7,
mage,성장 치명타,0.005,
mage,패시브 이름,마력 보호막과 감정안,★ 글자일 뿐이다 — 전투는 안 바뀐다
mage,패시브 설명,쓰러질 피해를 막고 반드시 한 번은 반격 · 그 반격은 2회 공격 · 각인 장비 확률 2배 · 지능 1당 마력 흡수 +0.3% · 1:1 전투에서 받는 피해 25% 감소,★ 직업 카드의 한 줄 요약
mage,패시브 자세히,"HP 가 0 아래로 내려가는 피해를 받으면 보호막이 터져 HP 1 로 버틴다. 한 전투에 한 번. 보호막은 **다음 한 대를 통째로 막는다**(스킬 '마력 보호막' 을 2점 올릴 때마다 한 대씩 늘어난다). 0.54 이전에는 시간으로 쟀는데, 전투를 건너뛰면 그 시간이 순식간에 흘러서 건너뛴 사람만 손해였다 — 그래서 시간이 아니라 횟수로 센다. 보호막이 켜져 있는 동안의 공격은 무조건 2회다. 그리고 줍거나 사는 장비가 각인일 확률이 10%에서 20%로 오른다 — 지능 1점마다 0.2%p 씩 더 오른다.",★ 캐릭터 창에 나오는 긴 설명
mage,반격 확률,,맞았을 때 되받아칠 확률. 0.35 = 35%
mage,반격 위력,,반격 피해 배율. 0.55 = 평소의 55%
mage,치명상 버티기,,쓰러질 피해를 HP 1 로 버틸 확률. 전투당 1회
mage,물약 배율,,물약 회복량 배율. 2 = 두 배
mage,선제 공격 횟수,,전투 시작하자마자 공짜로 때리는 횟수
mage,선제 공격 위력,,그 공격의 피해 배율
mage,회피 확률,,0.18 = 18%
mage,맞은 뒤 확정 회피,,1 이면 켬. 비우면 끔
mage,광역 여파,0.7,주 대상에게 준 피해의 몇 %가 나머지 전부에게. 0.45 = 45%
mage,충전 주기,3,몇 번째 공격마다 대폭발이 터지나
mage,충전 위력,1.4,그 폭발의 피해 배율. 2.1 = 2.1배
mage,보호막,1,1 이면 켬 — 쓰러질 피해를 막고 HP 1 로 버틴다
mage,보호막 막는 횟수,1,몇 대를 막아 내나. 0.54 이전에는 밀리초였다
mage,끌어오기 범위,4,필드에서 몇 칸 안의 몬스터까지 함께 끌고 들어오나. 0 = 한 마리
mage,한 전투 최대 마리,4,끌고 올 수 있는 최대 수
mage,공격 속성,magic,magic 이면 마법 공격으로 친다. 비우면 물리
mage,마법 전환 배율,1.1,주는 피해를 전부 마법으로 바꾸면서 곱하는 값. 1.1 = 10% 더. 비우면 1(그대로)
mage,골드 획득,,사냥꾼 패시브. 0.3 = +30% (상점 판매에도)
mage,골드 획득/민첩,,민첩 1점마다 더 오르는 몫. 0.01 = 1%p
mage,재료 두 배 확률,,용사 패시브. 0.2 = 20%
mage,재료 두 배/힘,,힘 1점마다 더 오르는 몫. 0.005 = 0.5%p
mage,각인 확률 추가,0.1,마법사 패시브. 0.1 이면 10% → 20%
mage,각인 확률/지능,0.002,지능 1점마다 더 오르는 몫. 0.002 = 0.2%p
mage,회피 확률/민첩,,사냥꾼 패시브. 민첩 1점마다 더 오르는 몫. 0.003 = 0.3%p
mage,마력 흡수/지능,0.003,마법사 패시브. 맞은 만큼 그대로 되돌려 받을 확률. 지능 1점당 0.003 = 0.3%p
mage,1:1 피해 감소,0.25,마법사 패시브. 상대가 한 마리뿐인 전투에서만 받는 피해를 깎는다. 0.5 = 절반
mage,힘 성장 차례,2,1=가장 잘 자람 · 2=다음 · 3=가장 덜 (몫 3:2:1)
mage,민첩 성장 차례,3,1=가장 잘 자람 · 2=다음 · 3=가장 덜
mage,지능 성장 차례,1,1=가장 잘 자람 · 2=다음 · 3=가장 덜
mage,전투설명 1,광역 마법 — 주 대상에게 준 피해의 70%가 나머지 전부에게,★ 캐릭터 창에 나오는 줄
mage,전투설명 2,마력 충전 — 3번째 공격마다 위력 1.4배 대폭발,★
mage,전투설명 3,주변 4칸의 몬스터를 최대 4마리까지 한 전투로 끌고 들어온다,★
