몬스터,아이템,확률,최소,최대
dungeon_lord,gem_diamond,0.45,1,2
dungeon_lord,gem_ruby,0.5,1,2
dungeon_lord,gem_sapphire,0.5,1,2
dungeon_lord,gem_emerald,0.5,1,2
dungeon_lord,gem_onyx,0.5,1,2
dungeon_lord,dragon_ring,0.35,1,1
dungeon_lord,socket_drill,0.01,1,1
elder_dragon,gem_ruby,1,2,4
elder_dragon,gem_sapphire,1,2,4
elder_dragon,gem_emerald,1,2,4
elder_dragon,gem_topaz,1,2,4
elder_dragon,gem_amethyst,1,2,4
elder_dragon,gem_onyx,1,2,4
elder_dragon,gem_diamond,1,2,4
elder_dragon,magic_stone,1,40,80
elder_dragon,demon_core,1,40,80
elder_dragon,herb,1,20,40
