id,이름,레벨,hp,atk,실제 값,def,spd,crit,exp,골드,이동,속성,보스,정예,전투크기,분노,필드그림,전투그림,등장대사,쓰러질때,기타
elite_wolf,강화된 잿빛 늑대,36,3800,360,"→ 실전 1,399~1,451 (×3.9~4 · 2곳, 가장 센 곳은 14단계 · 재의 숲)",178,45.9,0.17,790,750,chase,,아니오,예,,,mon_wolf_field,mon_wolf_battle,,,
elite_imp,강화된 꼬마 악마,42,3950,380,"→ 실전 1,829~2,989 (×4.8~7.9 · 2곳, 가장 센 곳은 16단계 · 피에 젖은 황야)",186,40.5,0.13,820,1140,chase,magic,아니오,예,,,mon_imp_field,mon_imp_battle,,,
elite_skeleton,강화된 해골 병사,45,4200,405,"→ 실전 3,185~4,834 (×7.9~11.9 · 5곳, 가장 센 곳은 지하감옥 1층 · 무너진 감방)",198,32.4,0.11,1190,1850,wander,,아니오,예,,,mon_skeleton_field,mon_skeleton_battle,,,
elite_demon_soldier,강화된 악마 병사,48,4500,435,"→ 실전 3,447~6,216 (×7.9~14.3 · 5곳, 가장 센 곳은 지하감옥 2층 · 물 고인 복도)",212,48.6,0.15,1500,3300,chase,,아니오,예,,,mon_demon_soldier_field,mon_demon_soldier_battle,,,
elite_imp_captain,강화된 악마 정찰대장,44,4996,460,"→ 실전 2,214 (×4.8 · 15단계 · 되세워진 초소)",220,17.67,0.2,8928,15550,wander,magic,아니오,예,1.15,,mon_imp_captain_field,mon_imp_captain_battle,또 너냐. 이번엔 놓치지 않는다.,두 번은 안 진다고… 했는데…,
elite_demon_general,강화된 악마 장군 발가르,66,7421,500,"→ 실전 4,557 (×9.1 · 20단계 · 심연 너머)",260,21.63,0.24,46728,71508,chase,magic,아니오,예,1.25,,mon_demon_general_field,mon_demon_general_battle,성문 너머는 네가 걸을 땅이 아니다.,문이… 열리는구나…,
dungeon_wraith,지하의 망령,62,9200,510,"→ 실전 7,287~9,018 (×14.3~17.7 · 2곳, 가장 센 곳은 지하감옥 3층 · 석상의 방)",150,110,0.22,2600,2200,chase,magic,아니오,예,,,mon_skeleton_field,mon_skeleton_battle,,,
dungeon_golem,감옥 석상,70,11000,300,"→ 실전 3,778~5,583 (×12.6~18.6 · 3곳, 가장 센 곳은 지하감옥 5층 · 주인의 자리)",280,80,0.35,4800,3800,wander,,아니오,예,1.2,,mon_demon_soldier_field,mon_demon_soldier_battle,,,
dungeon_general,봉인된 장군 발가르,73,12000,450,"→ 실전 5,666 (×12.6 · 지하감옥 4층 · 봉인된 층)",320,100,0.25,7200,6000,chase,magic,아니오,예,1.4,0.05,mon_demon_general_field,mon_demon_general_battle,봉인이 풀린 건 네 덕이다. 값은 치러야지.,다시… 어둠으로…,
dungeon_lord,감옥의 주인,75,20000,500,"→ 실전 9,305 (×18.6 · 지하감옥 5층 · 주인의 자리)",650,170,0.28,134520,106200,chase,magic,예,아니오,1.45,,mon_demon_general_field,mon_demon_general_battle,내려온 자는 많았다. 올라간 자는 없었고.,올라가라. 위에서 무엇을 볼지는… 모르지만.,
great_dragon,고룡 카르나크,99,700000,12000,"→ 실전 12,000 (보정 없음 · 서쪽 절벽 들판)",1200,150,0.3,400000,300000,chase,magic,예,아니오,2.1,0.1,mon_great_dragon_field,mon_great_dragon_battle,작은 것이 왔구나. 숨 한 번이면 될 것을.,…재미있었다. 오랜만에.,
elder_dragon,잠겨 있던 용 아그라모스,110,1500000,16000,"→ 실전 16,000 (보정 없음 · 고룡의 둥지)",800,40,0.1,1200000,15000000,chase,magic,예,아니오,2.3,0.02,mon_elder_dragon_field,mon_elder_dragon_battle,천 년을 갇혀 있었다. 문을 연 값을 받아야겠다.,문을 연 것도 너였고… 닫는 것도 너로구나…,
