id,이름,종류,부위,아이콘,등급,겹침,강화,가격,atk,def,hp,spd,crit,치명피해,회복HP,마법,설명,기타
dragon_mail,용린 갑옷,armor,armor,item_dragon_mail,rare,아니오,예,20000,,54,200,,,,,,용의 비늘을 엮었다. 불도 마법도 튕겨낸다. 투구·어깨와 맞춰 입으면 힘을 더 낸다.,
dragon_helm,용린 투구,armor,helmet,item_dragon_helm,rare,아니오,예,20000,,16,70,,,,,,용의 이마 비늘로 만든 투구. 시야가 트이고 머리가 서늘하다.,
dragon_pauldron,용린 어깨갑옷,armor,shoulder,item_dragon_pauldron,rare,아니오,예,20000,,15,65,,,,,,어깨를 덮은 용의 등비늘. 어깨가 무거운 만큼 든든하다.,
useless_sword,쓸모없는 검,weapon,weapon,item_useless_sword,rare,아니오,아니오,100000,1,,,,,,,,날이 죽고 이가 빠졌다. 그런데 홈이 둘 뚫려 있다. 홈에는 빨간 빛과 녹색빛이 나는 것 같다.,
dragon_knight_sword,용린 기사검,weapon,weapon,item_dragon_knight_sword,rare,아니오,예,100000,56,8,120,,0.06,,,,쓸모없는 검이 제 이름을 찾았다. 용린 한 벌을 갖추면 고룡 앞에서 다른 검이 된다.,
magic_helm,매직 투구,armor,helmet,item_magic_helm,rare,아니오,예,24000,,10,55,,,,,보호,"마력을 엮어 짠 투구. 방어는 얇지만 머리로 오는 마법을 흘려 낸다.\n지하감옥에서 두 칸 더 멀리 보이고, 그곳의 것들이 먼저 알아채지 못한다.","{""mods"":{""sightBonus"":2,""dungeonStealth"":1}}"
cloth_hood,천 두건,armor,helmet,item_cloth_hood,common,아니오,예,30,,2,10,,,,,,머리에 두르는 천 조각. 없는 것보다는 낫다.,
leather_cap,가죽 모자,armor,helmet,item_leather_cap,uncommon,아니오,예,140,,5,22,,,,,,챙을 눌러쓰면 비도 화살도 조금은 비껴간다.,
knight_helm,기사 투구,armor,helmet,item_knight_helm,rare,아니오,예,820,,14,55,,,,,,포이노 근위대의 정식 투구. 볼가리개가 턱까지 내려온다.,
rune_helm,룬 투구,armor,helmet,item_rune_helm,epic,아니오,예,58000,,34,140,,,,,보호,정수리에서 빛이 흘러 깃털처럼 뻗는다. 룬 한 벌의 마지막 조각.,
dragon_knight_bow,용린 기사궁,weapon,weapon,item_dragon_knight_bow,rare,아니오,예,100000,52,6,100,8,0.1,,,,쓸모없는 검이 사냥꾼의 손에서 활이 되었다. 용린 한 벌을 갖추면 고룡 앞에서 다른 물건이 된다.,
dragon_knight_staff,용린 기사장,weapon,weapon,item_dragon_knight_staff,rare,아니오,예,100000,54,8,130,,,0.14,,,쓸모없는 검이 마법사의 손에서 지팡이가 되었다. 용린 한 벌을 갖추면 고룡 앞에서 다른 물건이 된다.,
swift_ring,질풍의 반지,accessory,ring,item_swift_ring,rare,아니오,예,420,,,,5,0.07,,,,끼고 있으면 발끝이 가벼워진다.,
power_ring,격노의 반지,accessory,ring,item_power_ring,epic,아니오,예,1300,18,,,,0.05,,,,심장 박동에 맞춰 붉게 뛴다.,
potion,회복약,consumable,,item_potion,common,예,아니오,28,,,,,,,55,,HP를 55 회복한다.,
herb,약초,material,,item_herb,common,예,아니오,50,,,,,,,,,가장 기본적인 강화 재료.,
magic_stone,마력석,material,,item_magic_stone,uncommon,예,아니오,500,,,,,,,,,고단계 강화에 쓰이는 결정.,
demon_core,악마의 핵,material,,item_demon_core,rare,예,아니오,850,,,,,,,,,아직도 미약하게 맥동한다. 대장간에서 비싸게 쳐준다.,
slime_jelly,슬라임 젤리,material,,item_slime_jelly,common,예,아니오,6,,,,,,,,,말랑하고 미묘하게 따뜻하다.,
bat_fang,박쥐 송곳니,material,,item_bat_fang,uncommon,예,아니오,14,,,,,,,,,작지만 제법 날카롭다.,
speed_potion,질주의 물약,consumable,,item_speed_potion,common,예,아니오,50,,,,,,,,,90초 동안 이동속도가 1.5배가 된다.,"{""use"":{""buff"":{""id"":""haste"",""name"":""질주"",""icon"":""💨"",""durationMs"":90000,""effects"":{""speedMult"":1.5},""desc"":""이동속도 1.5배""}}}"
leather_pauldron,가죽 어깨보호구,armor,shoulder,item_leather_pauldron,uncommon,아니오,예,130,,4,8,,,,,,어깨를 덮는 질긴 가죽.,
steel_pauldron,강철 어깨갑옷,armor,shoulder,item_steel_pauldron,rare,아니오,예,640,,12,22,,,,,,묵직하지만 어깨가 든든하다.,
cloth_gloves,천 장갑,armor,gloves,item_cloth_gloves,common,아니오,예,45,,3,,,,,,,손이 미끄러지지 않는다.,
steel_gauntlet,강철 건틀릿,armor,gloves,item_steel_gauntlet,rare,아니오,예,560,4,9,,,,,,,주먹째로 후려칠 수도 있다.,
leather_boots,가죽 부츠,armor,boots,item_leather_boots,common,아니오,예,70,,3,,2,,,,,오래 걸어도 발이 편하다.,
swift_boots,질주의 부츠,armor,boots,item_swift_boots,rare,아니오,예,500,,5,,7,,,,,발끝에 바람이 감돈다.,
leather_belt,가죽 허리띠,accessory,belt,item_leather_belt,common,아니오,예,60,,10,30,,,,,,허리를 잡아 주면 힘이 더 실린다.,
mana_belt,마력의 허리띠,accessory,belt,item_mana_belt,rare,아니오,예,720,,,40,,0.1,,,,박힌 결정이 은은하게 빛난다.,
wood_amulet,나무 부적,accessory,necklace,item_wood_amulet,common,아니오,예,55,,,20,,,,,,마을 어귀에서 파는 흔한 부적.,
guard_amulet,수호의 목걸이,accessory,necklace,item_guard_amulet,rare,아니오,예,680,,18,90,3,,,,,방패 문양이 새겨져 있다.,
frost_blade,서리검,weapon,weapon,item_frost_blade,epic,아니오,예,90000,82,10,158,5,0.1,,,서리,날에 서리가 어려 있다. 벨 때마다 찬 기운이 상처에 스민다.,
storm_bow,뇌전궁,weapon,weapon,item_storm_bow,epic,아니오,예,92000,76,,100,14,0.15,,,뇌전,시위를 당기면 푸른 불꽃이 튄다.,
ember_staff,성염 지팡이,weapon,weapon,item_ember_staff,epic,아니오,예,94000,78,,145,,,0.25,,성염,꺼지지 않는 불씨가 머리에 박혀 있다.,
rune_mail,룬 갑옷,armor,armor,item_rune_mail,epic,아니오,예,76000,,66,250,,,,,보호,판마다 보호의 룬이 새겨져 있다.,
rune_pauldron,룬 어깨갑옷,armor,shoulder,item_rune_pauldron,epic,아니오,예,42000,,30,64,,,,,보호,어깨에 얹힌 룬이 옅게 빛난다.,
rune_gauntlet,룬 건틀릿,armor,gloves,item_rune_gauntlet,epic,아니오,예,38000,13,23,,,,,,완력,주먹을 쥐면 룬이 달아오른다.,
rune_boots,룬 부츠,armor,boots,item_rune_boots,epic,아니오,예,36000,,16,,14,,,,질풍,발자국마다 룬이 남았다 사라진다.,
rune_belt,룬 허리띠,accessory,belt,item_rune_belt,epic,아니오,예,40000,,12,110,,0.05,,,마력,허리를 조이면 마력이 도는 게 느껴진다.,
rune_amulet,룬 목걸이,accessory,necklace,item_rune_amulet,epic,아니오,예,44000,,26,120,,0.03,0.3,,가호,가슴께에서 룬이 조용히 맥동한다.,
greater_potion,희귀 회복약,consumable,,item_greater_potion,rare,예,아니오,1000,,,,,,,210,,성문 상인만 취급하는 진한 약. HP를 210 회복한다.,
mega_potion,거대 회복약,consumable,,item_mega_potion,epic,예,아니오,9000,,,,,,,700,,희귀 회복약 열 병을 눌러 담았다. HP를 700 회복한다. 연금술사만 만들 줄 안다.,
dragon_ring,용의 인장,accessory,ring,item_dragon_ring,epic,아니오,예,300000,26,,90,,0.09,,,용혈,발가르의 손가락에서 빼낸 인장. 아직 뜨겁다.,
gem_ruby,루비,material,,item_gem_ruby,epic,예,아니오,12000,,,,,,,,,+10 장비의 홈에 박는다. 공격력 +8% — 한 번 박으면 뺄 수 없다.,
gem_sapphire,사파이어,material,,item_gem_sapphire,epic,예,아니오,12000,,,,,,,,,+10 장비의 홈에 박는다. 최대 HP +10% — 한 번 박으면 뺄 수 없다.,
gem_emerald,에메랄드,material,,item_gem_emerald,epic,예,아니오,12000,,,,,,,,,+10 장비의 홈에 박는다. 받는 피해 -6% — 한 번 박으면 뺄 수 없다.,
gem_topaz,토파즈,material,,item_gem_topaz,epic,예,아니오,12000,,,,,,,,,+10 장비의 홈에 박는다. 치명타 확률 +5% — 한 번 박으면 뺄 수 없다.,
gem_amethyst,자수정,material,,item_gem_amethyst,epic,예,아니오,12000,,,,,,,,,+10 장비의 홈에 박는다. 치명타 피해 +18% — 한 번 박으면 뺄 수 없다.,
gem_onyx,오닉스,material,,item_gem_onyx,epic,예,아니오,12000,,,,,,,,,+10 무기·허리띠의 홈에만 박는다. 흡혈 +7% — 한 번 박으면 뺄 수 없다.,
gem_diamond,다이아몬드,material,,item_gem_diamond,epic,예,아니오,12000,,,,,,,,,+10 장비의 홈에 박는다. 방어 관통 +10% — 한 번 박으면 뺄 수 없다.,
dragon_token,용의 징표,material,,item_dragon_token,epic,예,아니오,0,,,,,,,,,고룡의 숨결이 굳어 만들어진 징표. 마을 서쪽의 마녀만이 이것의 값을 안다.,
dragon_gate_key,용의 열쇠,material,,item_dragon_gate_key,legendary,예,아니오,0,,,,,,,,,"마녀가 징표 열 개를 받고 내주는 열쇠. 서쪽 절벽 끝, 아무도 열지 못한 큰 동굴문의 것이다.",
dragonslayer,용살자,weapon,weapon,item_frost_blade,legendary,아니오,예,0,98,12,190,6,0.12,,,서리,마녀가 용의 징표를 녹여 벼린 검. 쥔 자의 재주를 두 배로 되돌린다.,"{""skillPower"":1}"
skypiercer,천공궁,weapon,weapon,item_storm_bow,legendary,아니오,예,0,91,,120,17,0.18,,,뇌전,시위를 당기면 하늘이 갈라진다. 쥔 자의 재주를 두 배로 되돌린다.,"{""skillPower"":1}"
worldtree_staff,세계수 지팡이,weapon,weapon,item_ember_staff,legendary,아니오,예,0,94,,174,,,0.3,,성염,뿌리째 뽑아 온 가지. 쥔 자의 재주를 두 배로 되돌린다.,"{""skillPower"":1}"
dragonscale_plate,용비늘 성갑,armor,armor,item_rune_mail,legendary,아니오,예,0,,79,300,,,,,보호,고룡의 등비늘을 통째로 엮었다. 입은 자의 재주를 두 배로 되돌린다.,"{""skillPower"":1}"
socket_drill,악마의 파편,material,,item_socket_drill,legendary,예,아니오,,,,,,,,,,"**장비에 보석 홈을 하나 더 만든다.** 지하감옥 깊은 곳에서만 나온다 — 무기·반지·목걸이·허리띠에 쓰고(+10 장비만, 한 장비에 한 번뿐 · 홈은 최대 2개), 방어구에는 쓸 수 없다.",
